Date Changed,Rate
7-Nov-24,4.75
1-Aug-24,5
3-Aug-23,5.25
22-Jun-23,5
11-May-23,4.5
23-Mar-23,4.25
2-Feb-23,4
15-Dec-22,3.5
3-Nov-22,3
22-Sep-22,2.25
4-Aug-22,1.75
16-Jun-22,1.25
5-May-22,1
17-Mar-22,0.75
3-Feb-22,0.5
16-Dec-21,0.25
19-Mar-20,0.1
11-Mar-20,0.25
2-Aug-18,0.75
2-Nov-17,0.5
4-Aug-16,0.25
5-Mar-09,0.5
5-Feb-09,1
8-Jan-09,1.5
4-Dec-08,2
6-Nov-08,3
8-Oct-08,4.5
10-Apr-08,5
7-Feb-08,5.25
6-Dec-07,5.5
5-Jul-07,5.75
10-May-07,5.5
11-Jan-07,5.25
9-Nov-06,5
3-Aug-06,4.75
4-Aug-05,4.5
5-Aug-04,4.75
10-Jun-04,4.5
6-May-04,4.25
5-Feb-04,4
6-Nov-03,3.75
10-Jul-03,3.5
6-Feb-03,3.75
8-Nov-01,4
4-Oct-01,4.5
18-Sep-01,4.75
2-Aug-01,5
10-May-01,5.25
5-Apr-01,5.5
8-Feb-01,5.75
10-Feb-00,6
13-Jan-00,5.75
4-Nov-99,5.5
8-Sep-99,5.25
10-Jun-99,5
8-Apr-99,5.25
4-Feb-99,5.5
7-Jan-99,6
10-Dec-98,6.25
5-Nov-98,6.75
8-Oct-98,7.25
4-Jun-98,7.5
6-Nov-97,7.25
7-Aug-97,7
10-Jul-97,6.75
6-Jun-97,6.5
6-May-97,6.25
30-Oct-96,5.94
6-Jun-96,5.69
8-Mar-96,5.94
18-Jan-96,6.13
13-Dec-95,6.38
2-Feb-95,6.63
7-Dec-94,6.13
12-Sep-94,5.63
8-Feb-94,5.13
23-Nov-93,5.38
26-Jan-93,5.88
13-Nov-92,6.88
16-Oct-92,7.88
22-Sep-92,8.88
5-May-92,9.88
4-Sep-91,10.38
12-Jul-91,10.88
24-May-91,11.38
12-Apr-91,11.88
22-Mar-91,12.38
27-Feb-91,12.88
13-Feb-91,13.38
8-Oct-90,13.88
6-Oct-89,14.88
8-Sep-89,13.75
4-Sep-89,13.88
31-Aug-89,13.84
25-May-89,13.75
25-Nov-88,12.88
25-Aug-88,11.88
8-Aug-88,10.88
21-Jul-88,10.38
7-Jul-88,9.88
24-Jun-88,8.88
10-Jun-88,8.38
3-Jun-88,7.88
17-May-88,7.38
8-Apr-88,7.88
17-Mar-88,8.38
1-Feb-88,8.88
3-Dec-87,8.38
4-Nov-87,8.88
23-Oct-87,9.38
6-Aug-87,9.88
8-May-87,8.88
28-Apr-87,9.38
18-Mar-87,9.88
9-Mar-87,10.38
15-Oct-86,10.88
23-May-86,9.88
18-Apr-86,10.38
11-Apr-86,10.88
19-Mar-86,11.38
15-Jan-86,12.38
26-Jul-85,11.38
11-Jul-85,11.88
19-Apr-85,12.38
28-Mar-85,12.88
20-Mar-85,13.38
28-Jan-85,13.88
14-Jan-85,11.88
23-Nov-84,9.5
19-Nov-84,9.75
5-Nov-84,10
17-Aug-84,10.5
16-Aug-84,10.75
9-Aug-84,11
8-Aug-84,11.5
11-Jul-84,12
6-Jul-84,10
29-Jun-84,8.88
10-May-84,9.06
14-Mar-84,8.56
7-Mar-84,8.81
3-Oct-83,9.06
10-Aug-83,9.56
9-Aug-83,9.44
14-Jun-83,9.56
13-Jun-83,9.81
14-Apr-83,10.06
13-Apr-83,10.31
15-Mar-83,10.56
12-Jan-83,11
26-Nov-82,10
2-Nov-82,9.13
1-Nov-82,9.38
12-Oct-82,9.63
30-Sep-82,10.13
29-Sep-82,10.25
28-Sep-82,10.38
27-Sep-82,10.5
27-Aug-82,10.63
26-Aug-82,10.88
25-Aug-82,11
24-Aug-82,11.13
17-Aug-82,11.25
16-Aug-82,11.38
4-Aug-82,11.5
2-Aug-82,11.56
30-Jul-82,11.63
29-Jul-82,11.75
28-Jul-82,11.81
26-Jul-82,11.94
21-Jul-82,12.06
13-Jul-82,12.13
12-Jul-82,12.25
9-Jul-82,12.5
8-Jun-82,12.63
20-Apr-82,13.13
19-Apr-82,13
16-Apr-82,13.13
10-Mar-82,13.25
25-Feb-82,13.63
22-Feb-82,13.81
22-Jan-82,13.88
21-Jan-82,14
20-Jan-82,14.13
19-Jan-82,14.25
18-Jan-82,14.31
4-Dec-81,14.38
25-Nov-81,14.56
9-Nov-81,14.63
6-Nov-81,15.06
28-Oct-81,15.13
12-Oct-81,15
15-Sep-81,14
25-Aug-81,12.69
11-Mar-81,12
25-Nov-80,14
3-Jul-80,16
15-Nov-79,17
13-Jun-79,14
5-Apr-79,12
1-Mar-79,13
8-Feb-79,14
9-Nov-78,12.5
8-Jun-78,10
15-May-78,9
8-May-78,8.75
12-Apr-78,7.5
9-Jan-78,6.5
28-Nov-77,7
17-Oct-77,5
10-Oct-77,5.5
19-Sep-77,6
12-Sep-77,6.5
15-Aug-77,7
8-Aug-77,7.5
16-May-77,8
2-May-77,8.25
25-Apr-77,8.75
18-Apr-77,9
12-Apr-77,9.25
31-Mar-77,9.5
21-Mar-77,10.5
10-Mar-77,11
3-Feb-77,12
31-Jan-77,12.25
24-Jan-77,13.25
10-Jan-77,14
29-Dec-76,14.25
20-Dec-76,14.5
22-Nov-76,14.75
7-Oct-76,15
13-Sep-76,13
24-May-76,11.5
26-Apr-76,10.5
8-Mar-76,9
1-Mar-76,9.25
9-Feb-76,9.5
2-Feb-76,10
26-Jan-76,10.5
19-Jan-76,10.75
5-Jan-76,11
29-Dec-75,11.25
1-Dec-75,11.5
17-Nov-75,11.75
6-Oct-75,12
28-Jul-75,11
5-May-75,10
21-Apr-75,9.75
24-Mar-75,10
10-Mar-75,10.25
17-Feb-75,10.5
10-Feb-75,10.75
27-Jan-75,11
20-Jan-75,11.25
